number,solution,myTime,bp1time,bp2time,bp3time
1591010572894,1591010572948,0.0166,0.0061,0.0691,0.0716
1655308687057,1655308687075,0.0047,0.0028,0.0253,0.0271
1809845067358,1809845067385,0.0039,0.0019,0.037,0.0374
1815662004371,1815662004713,0.017,0.0059,0.4548,0.4736
1890552739468,1890552739486,0.0036,0.0021,0.0259,0.028
2059224047042,2059224047204,0.0052,0.0023,0.2484,0.347
2116538423118,2116538423181,0.0036,0.0021,0.0843,0.0849
2130223160479,2130223160497,0.0053,0.0023,0.0322,0.0326
2209702555323,2209702555332,0.0036,0.002,0.0137,0.0137
2263106076570,2263106076705,0.0042,0.0022,0.1728,0.1751
2548753538926,2548753538962,0.0167,0.0063,0.0547,0.0509
2552002961926,2552002961962,0.0039,0.0021,0.0499,0.0523
2722950620086,2722950620608,0.0046,0.0022,0.6157,0.6748
2729284355273,2729284355327,0.0196,0.0065,0.0731,0.0785
2838722574139,2838722574193,0.0039,0.0019,0.0679,0.0776
2914867754445,2914867754454,0.0035,0.0021,0.0146,0.0141
2926616473898,2926616473988,0.005,0.0023,0.1144,0.117
2942670332546,2942670332564,0.0045,0.0024,0.0272,0.0286
2950032450145,2950032450154,0.0035,0.0018,0.0144,0.0139
3077332383868,3077332383886,0.0038,0.002,0.0262,0.0263
3108076258499,3108076258949,0.025,0.0041,0.774,0.8018
3136447395324,3136447395342,0.0037,0.0021,0.0447,0.0297
3197453267473,3197453267734,0.0061,0.0033,0.366,0.3789
3277072491752,3277072492157,0.0058,0.0028,0.6368,0.6023
3319096446640,3319096460446,0.0195,0.0068,17.8463,19.1354
3322992431890,3322992431908,0.0205,0.0068,0.0255,0.026
3716352201373,3716352201733,0.0168,0.0062,0.433,0.5004
3771400472961,3771400476129,0.0064,0.0184,4.534,4.0684
3802324802611,3802324806112,0.0075,0.0029,4.8367,4.6546
4147912852607,4147912852670,0.0035,0.0021,0.0928,0.1011
4202684585306,4202684585360,0.0046,0.0023,0.0754,0.0748
4292173751267,4292173751276,0.0043,0.0021,0.0142,0.0135
4394443735140,4394443735401,0.0046,0.0024,0.3063,0.331
4409153827771,4409153871277,0.0091,0.0038,56.0512,60.8687
4614153305738,4614153305783,0.0034,0.0021,0.0636,0.067
4791251822774,4791251824277,0.0051,0.0024,1.7231,1.8454
4840713285395,4840713285539,0.0057,0.0026,0.2851,0.2807
4968807328416,4968807328461,0.0052,0.0024,0.0559,0.12
4972131658815,4972131658851,0.0063,0.0028,0.0515,0.0529
5093723157104,5093723157140,0.0047,0.0024,0.0518,0.0522
5252039589743,5252039593478,0.0081,0.0032,5.317,4.7593
5279567292698,5279567292869,0.0046,0.0023,0.1979,0.2111
5550016817485,5550016817548,0.0049,0.0028,0.0887,0.0872
