number,solution,myTime,bp1time,bp2time,bp3time
257,275,0.0212,0.0105,0.0129,0.0181
258,285,0.0142,0.0097,0.0341,0.0285
259,295,0.0082,0.0045,0.0257,0.0243
260,602,0.0192,0.0074,0.1268,0.1399
261,612,0.0123,0.0059,0.1108,0.1406
262,622,0.0136,0.0064,0.1134,0.1389
263,326,0.015,0.0065,0.0223,0.0279
264,426,0.0571,0.0162,0.1152,0.1418
265,526,0.0225,0.0095,0.1403,0.1738
266,626,0.0175,0.0069,0.1187,0.1433
267,276,0.0082,0.0039,0.0054,0.0062
268,286,0.0102,0.0052,0.0292,0.0117
269,296,0.0093,0.0051,0.0121,0.0134
270,702,0.0229,0.008,0.4684,0.3401
271,712,0.0169,0.01,0.1981,0.1916
272,722,0.014,0.0066,0.1521,0.1758
273,327,0.0179,0.0075,0.0216,0.0255
274,427,0.0461,0.0108,0.0629,0.0756
275,527,0.0102,0.0056,0.1266,0.0945
276,627,0.0145,0.0066,0.1189,0.1457
277,727,0.0294,0.0097,0.3935,0.2338
278,287,0.0158,0.0071,0.0081,0.0079
279,297,0.0132,0.0057,0.0128,0.0137
280,802,0.0146,0.0071,0.3633,0.4942
281,812,0.0186,0.0073,1.1374,0.2307
282,822,0.0143,0.0063,0.1735,0.2153
283,328,0.0132,0.0062,0.0198,0.0208
284,428,0.0144,0.0068,0.0544,0.0982
285,528,0.0123,0.0053,0.1038,0.1817
286,628,0.0135,0.0068,0.109,0.2053
287,728,0.0138,0.0059,0.3017,0.559
288,828,0.0125,0.0058,0.1671,0.2148
289,298,0.0164,0.0068,0.0072,0.0074
290,902,0.0095,0.0046,0.1813,0.2263
291,912,0.0232,0.0158,0.8334,1.873
292,922,0.0188,0.007,0.5477,0.2688
293,329,0.0149,0.0068,0.0169,0.0206
294,429,0.0215,0.0082,0.0597,0.0851
295,529,0.0207,0.0144,0.1084,0.1376
296,629,0.0133,0.0062,0.1043,0.1296
297,729,0.0132,0.0058,0.3687,0.1643
298,829,0.0169,0.0072,0.4858,0.5372
299,929,0.0207,0.0083,0.2437,0.3642
300,-1,0.008,0.0022,0.0035,0.0022
301,310,0.0158,0.0065,0.0134,0.0105
302,320,0.0109,0.0049,0.0088,0.0099
303,330,0.0162,0.0073,0.0131,0.016
304,340,0.0095,0.0051,0.015,0.0173
305,350,0.0152,0.0064,0.0181,0.0234
306,360,0.1246,0.0075,0.028,0.0265
307,370,0.0247,0.0072,0.4488,0.0457
308,380,0.0124,0.006,0.0262,0.0319
309,390,0.0094,0.0051,0.0289,0.0341
310,-1,0.0221,0.0115,0.0078,0.0037
311,-1,0.0111,0.0033,0.0038,0.0029
312,321,0.0381,0.0115,0.0113,0.0077
313,331,0.0188,0.0068,0.0219,0.0115
314,341,0.0108,0.0052,0.0121,0.0133
315,351,0.018,0.0073,0.0176,0.0207
316,361,0.0102,0.0056,0.0186,0.0213
317,371,0.0105,0.005,0.0197,0.0258
318,381,0.0156,0.0074,0.0364,0.034
319,391,0.0167,0.0067,0.1664,0.0338
320,-1,0.026,0.0024,0.0043,0.0045
321,-1,0.0128,0.0103,0.0066,0.0077
322,-1,0.0112,0.0027,0.0041,0.0027
323,332,0.0091,0.0048,0.0064,0.0065
324,342,0.0076,0.004,0.0082,0.0097
325,352,0.0123,0.006,0.0195,0.0159
326,362,0.0103,0.0051,0.0142,0.017
327,372,0.0124,0.0055,0.0162,0.0211
328,382,0.0146,0.0079,0.021,0.0245
329,392,0.0168,0.0078,0.0262,0.0306
330,-1,0.0063,0.0021,0.0035,0.003
331,-1,0.0129,0.0027,0.005,0.003
332,-1,0.0343,0.0044,0.0063,0.0034
333,-1,0.0099,0.0026,0.0036,0.0024
334,343,0.0274,0.0085,0.0099,0.0086
335,353,0.0392,0.0124,0.1519,0.0139
336,363,0.0133,0.0062,0.0127,0.0144
337,373,0.0225,0.0083,0.027,0.0293
338,383,0.0074,0.004,0.017,0.0194
339,393,0.0188,0.0074,0.0229,0.0302
340,403,0.0191,0.0072,0.0616,0.0693
341,413,0.0152,0.0065,0.0475,0.0445
342,423,0.0151,0.0068,0.0297,0.0367
343,433,0.0443,0.014,0.0683,0.0753
344,434,0.0166,0.0071,0.0307,0.0466
345,354,0.0148,0.0064,0.0111,0.0091
346,364,0.0157,0.0068,0.0117,0.0121
347,374,0.0086,0.0044,0.011,0.0129
348,384,0.0118,0.0053,0.0144,0.0168
349,394,0.0127,0.0062,0.0199,0.0223
350,503,0.0161,0.0068,0.0545,0.0649
351,513,0.0147,0.0073,0.0573,0.0715
352,523,0.0205,0.0074,0.0712,0.0875
353,533,0.0168,0.007,0.0773,0.0761
354,435,0.0142,0.0065,0.03,0.0356
355,535,0.0218,0.0292,0.0691,0.1288
356,365,0.0123,0.0065,0.007,0.0078
357,375,0.013,0.0056,0.0087,0.0096
358,385,0.0093,0.0051,0.013,0.0181
359,395,0.0134,0.0064,0.0159,0.018
360,603,0.017,0.0064,0.0904,0.1195
361,613,0.0125,0.0063,0.0885,0.256
362,623,0.0208,0.0072,0.103,0.1113
363,633,0.0124,0.0061,0.09,0.1088
364,436,0.0162,0.0066,0.0475,0.0354
365,536,0.0124,0.0054,0.1853,0.1595
366,636,0.0151,0.0061,0.1408,0.1449
367,376,0.012,0.0055,0.0063,0.0069
368,386,0.016,0.007,0.0115,0.0106
369,396,0.0138,0.0062,0.013,0.0151
370,703,0.0149,0.0073,0.12,0.1364
371,713,0.0115,0.0055,0.1089,0.1353
372,723,0.0239,0.0086,0.1486,0.2059
373,733,0.0181,0.0076,0.1431,0.1769
374,437,0.0162,0.0102,0.0226,0.0288
375,537,0.0193,0.0071,0.0553,0.1396
376,637,0.0183,0.0073,0.0925,0.5786
377,737,0.0139,0.0063,0.1128,0.1386
378,387,0.0176,0.0074,0.0087,0.0083
379,397,0.0119,0.0058,0.0108,0.0112
380,803,0.0102,0.0048,0.1299,0.16
381,813,0.0163,0.0066,0.1389,0.1833
